,title,company,company_nature,company_size,address,salary,educaion_background,work_experience,release_time,position_statment
0,MMC事业群-高级投资策略专家-杭州,阿里巴巴集团,公司性质：上市公司,公司规模：10000人以上,杭州,,学历要求：本科,工作经验：5-7年,07-11,1.分析市场数据及业务趋势，牵头行业研究及协助制定投资策略2.结合业务和投资策略寻找投资标的公司3.参与推动项目执行，包括尽调，谈判，内部审核以及投后管理等流程1.本科以上学历，拥有较强的商业判断能力和战略思维2. 在财务，投资等领域有扎实的理解能力，至少5年投资或并购重组经验，一线投行IBD，PE或者财务顾问工作经验优先3.在企业服务，跨境电商或供应链行业有一定积累4.潜在领导力、积极的工作态度及团队协作精神
1,人事主管,宁波谱尼测试技术有限公司,公司性质：民营公司,公司规模：150-500人,杭州,0.8-1万/月,学历要求：大专,工作经验：5-7年,07-11,工作内容：1、负责员工日常考勤管理、系统维护；2、负责办理员工入职、试用、转正、异动、离职手续办理；3、负责劳动合同签订、续签工作；4、负责公司员工人事档案管理、信息化更新工作；5、各类人事报表统计、汇总；6、完成上级领导交办的其他事项工作; 7、负责人员招聘工作。岗位要求：1、***大专及以上学历；人力资源、心理学或管理等相关专业；2、熟悉人事各个模块，有人力资源招聘的实务操作经验；3、熟练使用office办公软件，具备基本的网络知识；4、有耐心、积极主动，为人正直，忠诚守信，工作严谨，具有很好的语言文字表达能力；5、良好的职业道德、抗压能力和团队合作精神。
2,房地产中介/底薪6000/贝壳大平台,贝壳找房（杭州）科技有限公司-HZ105,公司性质：民营公司,公司规模：,杭州-临平区,0.6-1.2万/月,学历要求：本科,工作经验：1年,07-11,"21届的或者往届生都可以应聘，经验不限！年龄在35岁以下即可  工作地点可以就近安排！全杭州每个区都可以安排！  一、工作内容: .  1、利用网络端口平台开发、管理房源和客源，通过电话微信方式了解客户的需求;   2、接待门店来访客户，进行房源和客源配对，利用vr技术，根据客户需求带客户看房;   3、进行面对面的业务洽谈，促成交易，签订合同协助客户办理过户相关手续;    二、薪酬福利:  1、培训：链家地产特有的带薪培训与后期进阶培训体系，让你的行业选择再无波折  2、晋升：每季度一次的晋升考核，给您公平合理的竞争的平台，2-3个月一次晋升的机会，让您的未来更加光明    3、收入：①试用期间底薪 6000，转正后20%-75%的高业务提成，首年计划保障年薪不低于6万。  4、福利：①五险 互助金，带薪年假，绩效奖金，员工旅游，节日福利，生日福利，高温福利，公司活动，和话费补贴全方位，还有各种团体活动和现金奖励，全维度的保障您的工作与生活；  5、内部员工租房、买房、服务费享受员工折扣价；内部员工享有免费学习进修。  三、你将获得:  1、优越的薪酬福利;  2、快速成长(公司提供系统的培训，包括新人班、 进阶班、精英班、储备干部班等) ;  3、公平公正的晋升机会;  4、健康积极的工作氛围(选择链家， 就是选择一种 积极向.上的生活态度! )  5、就近选择工作地点(将近300家直营网点遍布杭州各区，你可最近距离上下班)。   四、晋升通道   1、专业序列:助理经纪人-经纪人-高经纪人  2、管理序列:店经理-高级店经理-资深店经理   3、晋升序列:经纪人-店经理-商圈经理-总监- 分公司总经理   五、建议和意见  如果你没有一技之长，但是你又很想赚钱改变现状,销售无疑是一个不错的选择，往往就不能走马观花,捡了芝麻丢了西瓜!"
3,舞台音响师,浙江大丰实业股份有限公司,公司性质：上市公司,公司规模：1000-5000人,杭州-上城区,5-7千/月,学历要求：大专,工作经验：1年,07-11,根据工作要求，需外派至项目所在地。岗位职责：1、负责剧院舞台音响相关工作的具体实施；2、负责剧院舞台音响技术控台；3、负责剧院舞台音响设备的基础调试、维护和检查工作；4、负责剧院舞台音响相关工作的内外对接工作；5、协助剧院巡检、安全、值班相关工作。任职要求：1、大专及以上学历，音响、机械、电气等相关专业优先；2、一年以上相关工作经验，有音响设备 、操控基础经验；3、有剧院、演出工作经历，能适应演出行业工作内容；4、具备良好的学习能力、适应性及抗压能力；5、热爱演出行业，诚恳踏实。
4,软件工程师,宁波水表（集团）股份有限公司,公司性质：上市公司,公司规模：1000-5000人,杭州-滨江区,15-30万/年,学历要求：大专,工作经验：无需经验,07-11,1.负责系统开发工作；2.负责系统日常问题处理；3.根据业务需求提供合理化解决方案；4.适应前后端开发需要，前端开发优先。任职要求：1.大专及以上学历，计算机相关专业，工作经验不限；2.熟悉Java开发，有一定的面向对象编程功底；3.熟悉Spring Boot、MyBatis等常用Java开源框架；4.熟悉SQL语言及MySQL、Oracle、SqlServer等主流数据库；5.具有较好的沟通能力，思路清晰，能独立分析和解决问题；6.有水务行业相关经验的优先考虑。
5,电话销售,绍兴环思智慧科技股份有限公司,公司性质：上市公司,公司规模：500-1000人,杭州-余杭区,1-1.5万/月,学历要求：大专,工作经验：2年,07-11,岗位职责：1.通过电话的方式进行针对性的线索获取和商机挖掘和培育；（数据来源于公司数据库、各区域市场拓展的线下数据、团队主动开发等；）2.进行线索管理、培育过程监控直至转化效果的评估；3.依据公司战略及市场部门的KPI，制定执行电话销售计划和方案，按时完成各项指标和工作任务，帮助销售赢得更多高质量订单。任职要求：1.有B2B行业经验，对纺织服装行业、工业互联网平台、SaaS有一定了解；2.较强的跨团队协作，推进，资源整合能力，同各区销售团队较好的合作；3.快速学习、敏感度强、乐于分享、优秀的沟通能力；4.精通销售技巧，执行力强，管理能力及抗压能力强，具备5-10人以上的ToB企业端电销团队管理能力。
6,销售顾问(管理培训生）,浙江映美商贸有限公司,公司性质：民营公司,公司规模：少于50人,杭州-江干区,7-18万/年,学历要求：大专,工作经验：3-4年,07-11,*拜访线下沙龙门店，负责公司旗下品牌的推介、维护、促销等日常工作*维护客户关系，提高客户满意度*收集和分析市场数据，并定期反馈最新信息任职要求：*要求学习能力较强，接收能力较强，有较强的沟通能力和逻辑思维能力*热衷销售工作，有强烈的事业心和进取精神，有一定的抗压能力*能够适应省内短途出差工作时间:上午：9：00-12：00下午：13：00-17：30双休
7,公关经理,杭州瀚文文化艺术策划有限公司,公司性质：外资（非欧美）,公司规模：少于50人,杭州-拱墅区,6-8千/月,学历要求：大专,工作经验：1年,07-11,代表新闻媒体单位，主动对接政府部门官员、企业高管，洽谈新闻宣传合作、广告宣传等事项。要求：喜欢新闻媒体行业，交际和执行力出色，能独立进行宣传项目策划、营销与执行。能承受一定的工作压力，团队协作性好，胜任省内短期出差。
8,房产销售代表-师傅一对一带教/精准客源/季度晋升机会,杭州豪世华邦房地产代理有限公司,公司性质：民营公司,公司规模：1000-5000人,杭州-拱墅区,1-1.5万/月,学历要求：大专,工作经验：无需经验,07-11,"【角色定位】1、20-40岁，统招大专及以上学历；2、有本行业经验的可以高级别入职；3、性格外向开朗，能吃苦耐劳，具团队合作精神；4、热爱房地产事业，敢挑战高薪、突破自我；5、要有良好的心理素质,具备在困难、挫折、艰苦的逆境中生存的能力。【角色职责】1、利用网络平台开发、管理房源和客源，通过电话方式了解客户的需求；2、接待门店来访客户，进行房源和客源配对，根据客户需求带客户看房；3、进行面对面的业务洽谈，促成交易，签订合同协助客户办理过户相关手续。【未来规划】1年成为主任房产专家2年升任店长带领团队3-5年晋升区域经理或片区总监【薪资福利】1、薪资：入职起薪5000-6000+15%-70%高提成+PK奖励，月平均收入8000—10000，我司众多销售人员月收入均在15000元—25000元；只要你敢做没有你拿不到；2、固定福利：五险、网络补贴、话费补贴400元、高温补贴、带薪培训、带薪年假、产假、婚假、病假；内部员工买房、租房，服务费享受员工内部折扣价；部分片区可安排员工宿舍，其余片区协助租房；3、晋升：每季度一次的晋升考核，给您公平合理的竞争的平台，3个月一次晋升的机会，让您的未来更加光明；4、月度年度激励活动：季度员工大会，优秀销售能手，可获得丰厚奖金、多样奖品、免费国内外旅游；年度优秀销售精英，可得宝马、电瓶车等各类大奖；5、行业领先培训体系：训练有素的培训师队伍，一系列培训计划；良好的1对1师傅带教，老带新培训机制，带你玩转房产行业；6、资源：杭州上百家店面充足的客户资源供给，聚集良好的工作圈、高质人脉公司，完全可扩展你的人脉圈，你的交际圈。【团队氛围】——95后纯大学生团队，平均年龄24岁，工作氛围简单真诚阳光透明，团队作战，有激情有梦想工作地点： 全杭州上百家店面就近安排【联系我们】招聘负责人：邝***联系方式：13539470442面试地点：拱墅区潮王路225号红石央大厦24F（总公司地址）附近公交站：（周边公交30路、67路、76路、155路、151路、12路，周边公交站：红石板新村、湖墅路沈塘桥、新河坝巷、米市巷）！附近地铁站：1号线西湖文化广场站D出口（转乘19/30/67路到红石板新村下车），2号线沈塘桥D出口步行10分钟即到！"
9,电工（临安城区）,上海宝龙商业地产管理有限公司临安分公司,公司性质：上市公司,公司规模：50-150人,杭州-临安区,4.5-6千/月,学历要求：中专,工作经验：2年,07-11,1、负责商场相关设施设备的维护和维修。任职要求：1、高中及以上学历；2、1年以上专业电工工作经验；3、年龄45周岁以下；4、有商场、物业、酒店行业工作经验者优先考虑。
10,二级建造师,红宾集团有限公司,公司性质：民营公司,公司规模：少于50人,杭州-拱墅区,6-8千/月,学历要求：大专,工作经验：1年,07-11,具体面议
11,成本经理/主管,杭州绿茶餐饮管理有限公司,公司性质：民营公司,公司规模：5000-10000人,杭州-拱墅区,1-2万/月,学历要求：大专,工作经验：3-4年,07-11,1、负责公司成本管控，对成本费用进行控制、分析、监督和反馈；2、针对专项费用的使用或物资耗费进行排查梳理、深度挖掘与分析，发现问题与控制点；3、对公司内部管理控制流程进行内部审计，建立、健全公司内部控制制度；4、对与公司经济活动有关的特定事项，进行专项审计；5、完成领导交办的其它工作事项。任职要求：1、本科及以上学历，会计等相关专业，熟练掌握成本管理知识和相关工具，有总账会计、餐饮行业实施经验从业经验者优先考虑。2、工作积级、主动、认真、细致，具有良好的逻辑思维能力、跨部门的沟通能力与抗压能力。
